Universidade / Instituto,Curso,Faculdade / Unidade Orgânica
,Odontologia,—
,Ciências Economicas e Gestão,—
,Psicologia das Organizações,—
,Direito ,—
,Psicologia Organizacional,—
,Psicologia ,—
,Comunicação Social ,—
,Ciências Politicas e Relações Internacionais,—
,Eng. De Petroleo/ Pesq. E Produção ,—
,Eng. De Petróleo/Pesq. E Produção,—
,Engenharia em Pesquisa e Produção de Petróleo,—
,Análises Clínicas,—
,Medicina Dentaria,—
,Engenharia Agronómica,—
,Gestão de Banca e Seguros,—
,Gestão de Bancas e Seguros,—
,Quimica,—
,Engenharia de Metarlurgia e Materiais,—
,Ciências da Informação,—
,Ciências Politica e Administração Pública,—
,Ciências Políticas,—
,Geofisica,—
,Exploração de Jazidos Diamantíferos,—
,Recursos Minerais e Ambiente,—
,Direito de Gestão de Negócios de Petróleo e Gás,—
,Gestão Hospitalar,—
,Eng. Informatica,—
,Fisíca,—
,Biologia,—
,Matemática,—
,Engenharia  em Recursos Hídicos,—
,Engenharia em Tecno. De Trans. Agro-Alimentar,—
,Ciências Económicas Empresariais,—
,Análises Clínicas e Ciências Farmacêuticas,—
,Eng. Eléctrica,—
,Consultória e Desenvolvimento Organizacional,—
,Dirección Estratégica de Marketing,—
,Gestão e Administração,—
